"sF","treid","slice","X","Y","Z"
"V400","s02.asc",2,0.902840000000001,0.417249999999999,1.9714
"V400","s02.asc",2,0.729270000000003,0.227330000000002,2.0431
"V400","s02.asc",2,0.740560000000002,0.590009999999999,1.9501
"V400","s02.asc",2.1,0.540500000000002,0.40494,2.1271
"V400","s02.asc",2.1,0.899140000000003,0.415590000000002,2.0672
"V400","s02.asc",2.1,0.718100000000003,0.21585,2.139
"V400","s02.asc",2.1,0.728910000000003,0.57649,2.0523
"V400","s02.asc",2.2,0.53537,0.398600000000002,2.2479
"V400","s02.asc",2.2,0.895780000000002,0.411460000000002,2.1523
"V400","s02.asc",2.2,0.701170000000001,0.206430000000001,2.2418
"V400","s02.asc",2.2,0.727060000000002,0.56381,2.1524
"V400","s02.asc",2.3,0.536330000000003,0.390640000000001,2.2515
"V400","s02.asc",2.3,0.891500000000001,0.385120000000001,2.2541
"V400","s02.asc",2.3,0.70635,0.195800000000002,2.3437
"V400","s02.asc",2.3,0.703850000000003,0.551290000000002,2.2581
"V400","s02.asc",2.4,0.53321,0.35014,2.4484
"V400","s02.asc",2.4,0.88813,0.380570000000002,2.3544
"V400","s02.asc",2.4,0.688210000000002,0.187250000000002,2.4472
"V400","s02.asc",2.4,0.694360000000003,0.54027,2.3506
"V400","s02.asc",2.5,0.53097,0.347760000000001,2.5249
"V400","s02.asc",2.5,0.8856,0.36767,2.4576
"V400","s02.asc",2.5,0.697890000000001,0.179600000000001,2.5442
"V400","s02.asc",2.5,0.700110000000002,0.53125,2.4522
"V400","s02.asc",2.6,0.528390000000002,0.37959,2.5793
"V400","s02.asc",2.6,0.882020000000001,0.350390000000001,2.5537
"V400","s02.asc",2.6,0.69068,0.168140000000001,2.6471
"V400","s02.asc",2.6,0.701520000000002,0.52159,2.5554
"V400","s02.asc",2.7,0.523010000000003,0.32601,2.7274
"V400","s02.asc",2.7,0.875110000000003,0.358599999999999,2.6579
"V400","s02.asc",2.7,0.685560000000002,0.162220000000001,2.7484
"V400","s02.asc",2.7,0.702050000000003,0.512499999999999,2.6618
"V400","s02.asc",2.8,0.51688,0.317990000000002,2.8288
"V400","s02.asc",2.8,0.870990000000003,0.353640000000002,2.7527
"V400","s02.asc",2.8,0.67923,0.154240000000001,2.8495
"V400","s02.asc",2.8,0.704550000000001,0.508870000000002,2.7505
"V400","s02.asc",2.9,0.508020000000002,0.35295,2.9359
"V400","s02.asc",2.9,0.8657,0.325200000000002,2.8718
"V400","s02.asc",2.9,0.670350000000003,0.14461,2.9388
"V400","s02.asc",2.9,0.69191,0.49625,2.8579
"V400","s02.asc",3,0.503640000000001,0.300340000000002,3.0318
"V400","s02.asc",3,0.859730000000003,0.33418,2.9709
"V400","s02.asc",3,0.664340000000003,0.135190000000001,3.0448
"V400","s02.asc",3,0.685130000000001,0.485600000000002,2.9571
"V400","s02.asc",3.1,0.493770000000001,0.28651,3.1324
"V400","s02.asc",3.1,0.854620000000001,0.319520000000001,3.1113
"V400","s02.asc",3.1,0.662400000000002,0.12764,3.1484
"V400","s02.asc",3.1,0.67117,0.4771,3.0547
"V400","s02.asc",3.2,0.487840000000002,0.278840000000002,3.2344
"V400","s02.asc",3.2,0.83971,0.327400000000001,3.1504
"V400","s02.asc",3.2,0.636480000000002,0.120979999999999,3.2357
"V400","s02.asc",3.2,0.648850000000003,0.471399999999999,3.1544
"V400","s02.asc",3.3,0.479460000000003,0.267300000000002,3.3357
"V400","s02.asc",3.3,0.828530000000001,0.319570000000002,3.2508
"V400","s02.asc",3.3,0.618040000000001,0.112819999999999,3.3438
"V400","s02.asc",3.3,0.678910000000002,0.458259999999999,3.2523
"V400","s02.asc",3.4,0.461060000000003,0.235939999999999,3.4187
"V400","s02.asc",3.4,0.818100000000001,0.309229999999999,3.3512
"V400","s02.asc",3.4,0.626740000000002,0.10577,3.449
"V400","s02.asc",3.4,0.6403,0.450130000000001,3.3507
"V400","s02.asc",3.5,0.459330000000001,0.274380000000001,3.5439
